Topic,Values
0,insurance,wellness,centre,lakh,people,benefit,case,millions,illness,nidhi
1,poise,insure,leap,forward,great,indian,crore,citizens,healthcare,tremendous
2,dawai,nahi,bhola,journo,daro,mili,nikle,clinic,abhi,doctor
3,glad,enthusiasm,society,section,tremendous,launch,ranchi,health,pmjay,jharkhand
4,think,like,happen,dream,health,india,scheme,educati,modi,launch
5,read,jumla,exercise,prove,rural,launch,days,desperation,journalism,foundation
6,glad,scheme,modi,biggest,sept,world,healthcare,launch,india,telangana
7,namo,treatment,cashless,cover,patients,minutes,assam,lakh,launch,year
8,ayushmanbharat,scheme,letter,customise,modicare,send,say,beneficiaries,healthcare,implement
9,scheme,launch,minister,september,prime,modi,follow,pidis,marne,bakwas
