Topic,Values
1,state,karnataka,private,crore,insurance,healthcare,year,arogya,fund,sector
2,india,demonetisation,income,wrong,years,need,poor,support,magic,neglect
3,healthcare,goyal,care,provide,lakh,india,come,patients,country,programme
4,healthcare,people,state,cover,year,family,come,pmjay,hwcs,india
5,state,centre,insurance,central,claim,national,fund,pmjay,crore,cent
6,people,care,healthcare,india,primary,need,growth,year,book,amartya
7,crore,healthcare,state,year,provide,karnataka,private,network,sector,people
8,hwcs,pmjay,screen,ministry,integration,people,national,create,follow,cancer
9,policy,cookie,privacy,accept,update,cookies,website,change,union,data
10,crore,percent,allocation,provide,healthcare,year,cover,budget,people,national
