Topic,Values
1,offer,annually,crore,distress,fund,provide,billion,healthcare,present,identify
2,hospital,avail,karnataka,hospitals,treatment,card,private,come,total,place
3,partner,uber,package,driver,quality,delivery,healthcare,private,hospitalisation,development
4,state,identify,urban,like,merge,company,claim,insurance,uber,pmjay
5,note,think,minister,facilities,industry,continue,number,quality,better,centre
6,amartya,primary,wrong,outcomes,sector,point,achieve,book,growth,modi
7,percent,allocation,hwcs,pmjay,crore,budget,state,goyal,stand,national
8,women,startups,people,state,karnataka,field,healthcare,fund,primary,book
9,hospital,card,private,uber,partner,provide,treatment,avail,healthcare,people
10,state,letter,west,bengal,cent,bhushan,healthcare,pull,central,estimate
