Topic,Values
1,healthcare,come,people,hospitals,provide,treatment,lakh,state,cover,patients
2,state,cent,estimate,premium,growth,lack,central,family,cost,people
3,healthcare,people,book,growth,primary,bank,field,women,help,need
4,hwcs,pmjay,screen,ministry,people,create,treatment,patients,follow,national
5,state,karnataka,year,crore,public,private,healthcare,fund,allocate,people
6,crore,percent,state,allocation,national,budget,centre,insurance,healthcare,year
7,healthcare,crore,service,provide,state,people,partner,card,private,year
8,provide,people,crore,quality,fund,year,treatment,private,development,package
9,healthcare,people,crore,provide,primary,amartya,sector,launch,need,fund
10,state,centre,provide,insurance,minister,medical,people,quality,include,arogya
