Topic,Values
1,hwcs,centre,healthcare,ministry,people,screen,pmjay,pradesh,delivery,uber
2,state,karnataka,healthcare,india,crore,yeshasvini,people,year,private,insurance
3,provide,crore,centre,care,service,healthcare,people,india,launch,wellness
4,demonetisation,wrong,income,state,years,need,india,poor,healthcare,leap
5,people,healthcare,private,quality,country,provide,india,nathealth,treatment,launch
6,state,crore,karnataka,year,private,allocation,public,fund,central,yeshasvini
7,state,pmjay,hwcs,centre,insurance,crore,integration,national,beneficiaries,arogya
8,state,centre,letter,reconsider,national,karnataka,insurance,crore,central,bengal
9,healthcare,centre,care,primary,people,wellness,india,diseases,programme,service
10,state,cent,central,estimate,claim,lack,family,cost,join,premium
