Topic,Values
1,state,primary,percent,allocation,amartya,centre,growth,book,pmjay,insurance
2,state,karnataka,yeshasvini,letter,students,mahindroo,reconsider,central,crore,bpharma
3,state,crore,women,allocation,field,budget,fund,goyal,care,percent
4,hwcs,pmjay,screen,ministry,yogi,facilities,state,women,field,integration
5,time,policy,website,change,electric,software,partner,settings,continue,experience
6,nathealth,collaboration,quality,input,exercise,package,private,meet,technical,spirit
7,provide,care,crore,fund,distress,industry,billion,people,healthcare,minister
8,state,estimate,party,cent,join,political,opposition,lack,claim,premium
9,identify,urban,company,jungles,candidates,employee,qualify,walmart,flipkart,amazon
10,think,number,crore,state,allocation,care,provide,budget,fund,people
