Topic,Values
1,state,merge,claim,insurance,pmjay,trust,confusion,collect,centre,source
2,note,think,nathealth,collaboration,number,healthcare,quality,come,package,janitri
3,hwcs,integration,yogi,pmjay,facilities,telemedicine,minister,state,better,movement
4,urban,identify,like,qualify,amazon,employee,jungles,definitely,candidates,flipkart
5,percent,allocation,state,crore,budget,estimate,goyal,party,bear,price
6,karnataka,state,fund,yeshasvini,allocate,electric,crore,software,care,provide
7,amartya,growth,book,primary,people,wrong,healthcare,bank,boost,magic
8,letter,reconsider,state,grant,saathi,earn,west,bengal,swasthya,stand
9,state,healthcare,cent,pmjay,women,service,partner,drivers,card,uber
10,ministry,screen,industry,continue,pradesh,position,hwcs,ncds,million,platform
