Topic,Values
1,state,karnataka,healthcare,yeshasvini,partner,driver,pmjay,cookie,insurance,uber
2,state,cookie,privacy,banerjee,ministry,cookies,policy,update,income,website
3,state,reconsider,identify,letter,company,like,urban,definitely,jungles,flipkart
4,healthcare,growth,crisis,perform,help,book,economy,bank,come,boost
5,state,cookie,healthcare,help,centre,driver,partner,time,privacy,hwcs
6,think,number,state,driver,partner,uber,country,centre,cent,hospitalisation
7,allocation,percent,goyal,budget,crore,short,aiims,immunization,medicine,price
8,amartya,cookie,nathealth,time,primary,navbharat,collaboration,centre,sector,better
9,pmjay,integration,hwcs,state,merge,insurance,movement,trust,create,claim
10,karnataka,state,yeshasvini,allocate,crore,public,expenditure,private,central,fund
