Topic,Values
1,identify,ministry,urban,pradesh,hwcs,like,potential,company,diseases,idea
2,goyal,healthcare,come,network,provide,crore,right,care,highlight,percent
3,policy,quality,reach,private,best,ensure,areas,standard,data,report
4,network,right,goyal,reserve,demonetisation,sabha,wrong,narendra,years,highlight
5,growth,book,bank,primary,magic,help,wrong,demonetisation,fact,better
6,hwcs,pmjay,state,come,cent,lack,claim,patients,hospitalisation,issue
7,percent,allocation,state,crore,insurance,pmjay,budget,announce,claim,goyal
8,number,state,bengal,west,centre,pull,request,stand,bhushan,authority
9,pmjay,hwcs,goyal,crore,percent,care,allocation,provide,patients,state
10,crore,fund,provide,care,state,karnataka,people,healthcare,year,billion
