Topic,Values
1,state,crore,healthcare,karnataka,private,hospitals,provide,treatment,india,cent
2,crore,provide,percent,people,care,healthcare,allocation,year,budget,benefit
3,care,provide,fund,people,year,minister,india,crore,world,billion
4,crore,state,karnataka,year,healthcare,india,private,public,fund,launch
5,state,healthcare,people,centre,facilities,provide,come,minister,cover,country
6,primary,people,healthcare,centre,india,care,need,growth,book,hwcs
7,company,electric,software,partner,india,service,fund,policy,uber,products
8,hwcs,pmjay,integration,nathealth,treatment,quality,collaboration,provide,national,healthcare
9,state,healthcare,insurance,pmjay,crore,service,lakh,bhushan,centre,programme
10,state,centre,people,pradesh,healthcare,pmjay,hwcs,ministry,insurance,central
