Topic,Values
1,state,cent,centre,family,estimate,healthcare,insurance,fund,central,claim
2,centre,provide,service,facilities,quality,minister,better,state,wellness,healthcare
3,industry,like,increase,sector,medical,healthcare,impact,company,urban,identify
4,state,crore,karnataka,insurance,year,centre,central,allocation,private,fund
5,hwcs,pmjay,ministry,screen,treatment,create,centre,follow,cancer,national
6,healthcare,state,cover,country,come,provide,lakh,family,insurance,year
7,partner,company,service,policy,products,include,fund,uber,healthcare,centre
8,state,provide,crore,healthcare,minister,lakh,access,bhushan,industry,cover
9,healthcare,service,crore,provide,private,pmjay,centre,hospitals,hwcs,state
10,healthcare,primary,growth,book,need,sector,bank,amartya,field,help
