Topic,Values
1,state,hwcs,banerjee,pmjay,healthcare,modi,withdrawal,decision,reach,screen
2,state,amartya,insurance,karnataka,merge,wrong,primary,accept,claim,sector
3,state,hwcs,pmjay,healthcare,hospitals,facilities,insurance,cent,come,crisil
4,income,demonetisation,universal,percent,support,state,suffer,compare,product,wrong
5,percent,number,allocation,crore,quality,package,budget,increase,goyal,treatment
6,identify,uber,company,reach,goyal,urban,amazon,flipkart,walmart,qualify
7,crore,provide,offer,distress,fund,billion,present,family,care,healthcare
8,state,growth,letter,bank,book,centre,bengal,west,boost,primary
9,state,banerjee,withdrawal,decision,implement,official,bengal,west,central,staff
10,cookie,website,privacy,policy,care,continue,experience,provide,technologies,fund
