Topic,Values
1,policy,time,company,india,ministry,service,products,centre,people,healthcare
2,state,karnataka,crore,year,private,public,central,insurance,fund,healthcare
3,healthcare,people,india,primary,care,need,help,state,year,growth
4,state,cent,private,medical,healthcare,hospitals,india,crore,country,cover
5,crore,care,provide,people,year,fund,budget,allocation,minister,state
6,pmjay,hwcs,treatment,provide,quality,hospitals,people,medical,india,private
7,centre,service,state,hwcs,wellness,primary,care,india,hospitals,free
8,centre,minister,facilities,state,people,better,provide,service,include,arogya
9,state,central,centre,claim,insurance,bengal,west,cent,letter,national
10,centre,wellness,care,service,diseases,primary,programme,percent,increase,communicable
