Topic,Values
1,healthcare,people,primary,state,india,need,insurance,growth,help,book
2,state,service,centre,india,partner,include,electric,company,fund,products
3,state,package,hospitals,india,cost,private,centre,nathealth,family,healthcare
4,hwcs,pmjay,company,urban,like,integration,identify,national,care,fund
5,state,industry,crore,mahindroo,students,increase,sector,centre,report,bpharma
6,centre,hwcs,pmjay,state,provide,minister,people,service,facilities,care
7,state,karnataka,crore,insurance,year,fund,private,public,yeshasvini,central
8,state,cover,people,hwcs,facilities,healthcare,centre,india,come,national
9,india,industry,continue,time,policy,minister,medical,quality,care,provide
10,care,crore,people,provide,year,fund,budget,minister,allocation,ministry
