Topic,Values
1,hwcs,pmjay,integration,state,facilities,beneficiaries,healthcare,movement,effective,come
2,nathealth,collaboration,quality,exercise,input,package,private,meet,protocols,meaningful
3,cookie,privacy,goyal,update,cookies,income,institute,website,demonetisation,sanction
4,care,distress,provide,fund,billion,crore,people,finance,free,dollar
5,screen,reach,areas,uber,ministry,identify,report,pradesh,hwcs,million
6,cookie,website,policy,growth,primary,book,amartya,privacy,urban,identify
7,state,think,reconsider,letter,estimate,party,number,cent,grant,saathi
8,state,banerjee,claim,insurance,pmjay,bengal,letter,west,centre,bhushan
9,state,banerjee,card,confirmation,withdrawal,decision,implement,official,bengal,west
10,percent,crore,state,allocation,karnataka,insurance,budget,fund,arogya,yeshasvini
