Topic,Values
1,growth,state,amartya,primary,book,ministry,people,pradesh,boost,healthcare
2,state,karnataka,cent,country,crore,private,medical,public,quality,provide
3,hwcs,pmjay,screen,create,cancer,ministry,positive,systems,talk,secretary
4,income,healthcare,demonetisation,think,come,wrong,crisil,facilities,state,number
5,crore,allocation,goyal,budget,percent,distress,provide,present,pmjay,offer
6,state,continue,cookie,privacy,insurance,think,policy,cookies,fund,centre
7,state,cookie,privacy,cookies,banerjee,website,policy,update,west,bengal
8,quality,package,meet,authority,development,implementation,private,step,singh,network
9,uber,centre,company,urban,service,wellness,identify,community,hwcs,delivery
10,think,number,hwcs,centre,state,service,wellness,pmjay,karnataka,primary
