Topic,Values
1,state,fund,company,like,base,identify,urban,family,cost,cent
2,state,people,growth,india,healthcare,primary,need,bank,book,centre
3,treatment,people,ministry,hwcs,policy,healthcare,union,quality,private,pradesh
4,state,pmjay,insurance,network,centre,claim,right,arogya,yojana,hwcs
5,crore,state,karnataka,provide,year,care,healthcare,budget,sector,india
6,state,karnataka,crore,private,public,year,hospitals,central,cent,expenditure
7,care,hwcs,pmjay,people,provide,fund,create,reach,year,ministry
8,healthcare,provide,people,cover,year,crore,programme,care,service,lakh
9,hwcs,pmjay,number,patients,create,beneficiaries,step,need,beneficiary,national
10,percent,crore,allocation,budget,national,increase,goyal,year,lakh,healthcare
