Topic,Values
1,think,allocation,percent,number,goyal,state,budget,crore,package,pmjay
2,centre,wellness,diseases,reduce,community,hwcs,primary,households,officer,screen
3,facilities,centre,state,primary,better,service,growth,hwcs,wellness,come
4,amartya,fund,distress,budget,read,primary,provide,billion,finance,need
5,state,estimate,join,lack,cent,claim,premium,growth,package,central
6,identify,like,urban,industry,company,impact,potential,sector,idea,ambitious
7,state,cent,crore,private,karnataka,partner,healthcare,quality,uber,provide
8,hwcs,ministry,screen,pmjay,partner,products,door,cancer,positive,policy
9,state,merge,fund,claim,crore,offer,insurance,pmjay,distress,provide
10,women,field,letter,startups,state,west,bengal,swasthya,stand,request
