Topic,Values
1,centre,wellness,diseases,care,primary,service,hwcs,communicable,areas,urban
2,crore,offer,provide,distress,fund,present,billion,healthcare,families,identify
3,minister,provide,facilities,care,people,better,centre,fund,friday,state
4,healthcare,industry,sector,india,achieve,better,time,change,policy,bhushan
5,karnataka,state,crore,private,public,year,allocation,central,fund,expenditure
6,state,pmjay,letter,central,hwcs,west,bengal,insurance,claim,cent
7,demonetisation,wrong,magic,growth,book,bank,number,direction,neglect,leap
8,country,cent,medical,hospital,citizens,express,private,long,society,quality
9,policy,time,startups,products,percent,company,healthcare,uber,change,continue
10,identify,hwcs,urban,pradesh,centre,ministry,screen,like,company,andhra
