Topic,Values
0,dawai,nahi,doctor,ndtv,abhi,journo,daro,clinic,bhola,mili
1,people,case,millions,medical,read,exercise,prove,jumla,lakh,fact
2,happen,government,scheme,cover,lakh,health,country,catch,national,modi
3,insurance,ndtv,benefit,scheme,medical,launch,pmjay,value,ayushmanbharat,company
4,launch,modi,scheme,gandhi,health,mantri,pradhan,yojana,rahul,marne
5,news,illness,poor,modi,scheme,launch,treatment,patients,help,cashless
6,glad,section,tremendous,society,enthusiasm,scheme,year,modicare,medical,country
7,scheme,india,modi,world,healthcare,like,think,dream,health,launch
8,healthcare,rural,want,scheme,pmjay,poor,kejriwal,expensive,affect,adversely
9,crore,healthcare,indian,great,leap,poise,forward,insure,citizens,upto
