Topic,Values
1,claim,girl,kalpana,chawla,caesarean,section,raised,born,hary,hospital
2,mohalla,attention,kimoon,clinics,deserved,earned,brundt,harlem,like,idea
3,prime,minister,universal,prioritise,narendra,indians,british,coverage,modi,thank
4,praises,prestigious,medical,worlds,mega,criticize,general,director,commitment,terms
5,says,healthcare,journal,modis,scheme,lancet,thumbs,impressed,gets,official
6,toilets,electrification,cooking,roads,foodgrain,awas,provided,rural,connection,typical
7,rajasthan,paying,bonds,accumulated,reduces,fuel,states,centre,implement,polls
8,delhi,arvind,kejriwal,named,wanted,udaan,obliged,pradesh,uttar,party
9,ayushman,bharat,said,days,ansayushman,apply,ayushmanbharat,mitra,friends,breath
10,beneficiary,haryana,karishma,celebrity,benefits,bearing,father,shares,haryanas,daughter
11,going,pilot,inaugurated,tomorrow,balrampur,governments,indicator,bring,directi,right
12,state,tamil,nadu,join,ambitious,major,latest,odisha,parts,delighted
13,karnal,child,little,bharatthe,daysold,august,proud,arrives,congrats,govt
14,world,health,organisation,flagship,organization,ukbased,noted,biggest,protection,national
15,newborn,indias,yojana,namo,independence,thankyou,yojan,nmapp,tasksharyana,fulfilling
16,mantri,pradhan,launched,arogya,recognition,yojna,program,angel,transform,sector
17,price,best,sure,slashing,earful,cost,doctors,business,think,petrol
18,india,government,benefit,crore,praise,provide,lakh,cover,aims,families
19,insurance,annum,heath,unique,payment,central,started,covered,procedure,understand
20,work,social,community,kitchen,lauded,charitable,bohra,hospitals,including,progress
