Topic,Values
1,abhi,dawai,jinj,journo,milibhola,daro,nikle,clinic,doctor,nahi
2,poised,insure,leap,forward,great,indian,crore,citizens,healthcare,citizen
3,wellness,centres,taken,lakh,sector,good,initiatives,adversely,affects,hands
4,value,ambani,offset,karega,bharatpidis,baad,marne,bakwas,paise,mazakrahul
5,insurance,illnessndtv,nidhi,case,benefit,millions,medical,news,people,companies
6,society,sections,enthusiasm,tremendous,glad,customised,sends,letters,beneficiariesvia,consolidate
7,mantri,pradhan,arogya,clearly,superior,youre,misinformed,terms,standards,recent
8,jumla,prove,exercise,read,state,better,wants,said,odisha,naveen
9,visit,website,indias,plan,sonia,chinaany,romania,mischief,russia,patient
10,cashless,assam,minutes,patients,treatment,launching,days,desperation,journalism,idea
11,cover,upto,help,expenses,introduced,year,guys,educate,atleast,pledge
12,dream,kejriwal,scheme,like,implementing,delhi,economically,viable,gamechanger,potential
13,bharat,ayushman,building,cartoon,know,transform,card,ayushma,change,ethealthworld
14,national,promote,rotary,sadan,kolkata,medi,inauguration,journal,indi,british
15,launch,minister,prime,modi,ranchi,narendra,september,gandhi,followed,jharkhand
16,programme,meet,foundation,mark,stones,pmjay,sleeping,caught,stage,number
17,india,biggest,happen,thinks,educati,sept,experiment,launched,dubbed,stack
18,says,central,general,duty,meets,officers,service,temple,mosque,church
19,health,largest,worlds,modicare,universal,care,country,ambitious,globally,protection
20,ayush,ends,aiims,latest,different,reality,vikas,love,ghaziabad,bilaspur
