Topic,Values
1,develop,model,systems,world,parts,cost,healthcare,developing,costhealthcaresystems,ties
2,helps,crores,daysofficial,average,receive,medical,care,data,affordable,drugs
3,time,kejriwal,mandatory,land,page,googleads,whycc,second,click,forget
4,going,according,means,indians,benefited,govt,crore,credit,kisan,stop
5,modi,needed,initially,bankrupted,didnt,launch,turn,heavily,tide,favournone
6,india,ruralurban,newindia,toilets,politics,pocket,line,expense,lakh,development
7,listed,businessmen,beneficiaries,congratulate,cricketer,took,instagram,survivor,cancer,known
8,yojana,brill,plus,admissions,arogya,weeks,beneficiary,discussion,special,healthtoday
9,bharat,ayushman,bharatvia,namo,yojna,order,propagating,abhiyan,swachh,ndtv
10,mega,runs,asks,finance,money,threadowning,read,phone,want,additional
11,mantri,pradhan,poor,thank,committed,welfare,total,people,common,questions
12,refused,reduction,worst,increased,politician,month,price,delhi,family,earns
13,free,patients,saved,eligible,landline,treated,treatment,refrigeratorany,phoneowns,anyoneowns
14,hospitals,worlds,largest,private,providing,coverage,economically,socially,envisages,disadvanta
15,indian,speaks,lauds,working,says,help,disease,connecting,backbone,patterns
16,claims,approved,days,caters,number,settled,higher,croreclaims,expenditure,public
17,health,insurance,programme,ministry,start,commanding,national,protection,anurag,shri
18,worth,survived,wouldnt
19,card,best,limit,hereif,refrigerator,farmer,process,agriculturist,link,enroll
20,scheme,wheeler,ineligible,seen,funds,excluded,talking,employee,stepped,industry
